# PB-020 repository-pinned gosec v2.28.0 candidate inventory and disposition ledger
# Command: gosec -conf .gosec.json -severity medium -confidence medium ./...
# Initial complete scan: Go 1.26.5; gosec module v2.28.0 built with Go 1.26.5; writable GOCACHE; no package/SSA skips; 954 files; 312,240 lines; 326 nosec recognized; 113 issues (44 High, 69 Medium).
# Rule totals: G115=9; G117=17; G118=18; G120=1; G122=5; G124=4; G202=9; G204=35; G703=12; G704=1; G705=2.
# Confidence totals: 65 High; 48 Medium. Dispositions: 9 remediated; 104 accepted with finding-local rationale.
# Final complete scan: same command and policy; 954 files; 312,496 lines; 418 nosec recognized; 0 issues.
# Every row below is one initial pinned-scanner candidate. Line values preserve the scanner's original location/range.
id	rule	severity	confidence	file	line	production_reachability	exploitability	disposition	security_rationale
PB020-PIN-011	G703	HIGH	HIGH	scripts/sign-steward-binary/main.go	79	No - local build/release tool	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-012	G703	HIGH	HIGH	scripts/sign-steward-binary/main.go	57	No - local build/release tool	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-013	G703	HIGH	HIGH	features/terminal/recorder.go	216	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	Recording IDs now use a strict opaque alphabet and the file is created through os.Root beneath the configured recording directory.
PB020-PIN-014	G703	HIGH	HIGH	features/steward/client/client_transport.go	2098	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-015	G703	HIGH	HIGH	features/steward/client/client_transport.go	2093	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-016	G703	HIGH	HIGH	features/steward/client/client_transport.go	2088	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-017	G703	HIGH	HIGH	features/controller/config/config.go	712	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-018	G703	HIGH	HIGH	cmd/steward/main.go	963	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-019	G703	HIGH	HIGH	cmd/cfg/cmd/script.go	409	Local - shipped administrative CLI	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-020	G703	HIGH	HIGH	cmd/cfg/cmd/credential_store.go	76	Local - shipped administrative CLI	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-021	G703	HIGH	HIGH	cmd/cfg/cmd/client_helpers.go	190	Local - shipped administrative CLI	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-022	G703	HIGH	HIGH	cmd/cfg/cmd/client_helpers.go	38	Local - shipped administrative CLI	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The path is an explicit local administrator/build-operator choice or a validated name beneath a private fixed root; no remote request controls filesystem reachability.
PB020-PIN-023	G118	HIGH	MEDIUM	pkg/gitsync/webhook.go	134	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-024	G118	HIGH	MEDIUM	features/workflow/trigger/webhook.go	314	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-025	G118	HIGH	MEDIUM	features/workflow/trigger/siem.go	712	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-026	G118	HIGH	MEDIUM	features/workflow/trigger/scheduler.go	314	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-027	G118	HIGH	MEDIUM	features/steward/commands/open_terminal.go	77	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-028	G118	HIGH	MEDIUM	features/steward/commands/handler.go	396	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-029	G118	HIGH	MEDIUM	features/steward/client/client_transport.go	780	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-030	G118	HIGH	MEDIUM	features/steward/client/client_transport.go	773	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-031	G118	HIGH	MEDIUM	features/rbac/jit/access_manager.go	85	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-032	G118	HIGH	MEDIUM	features/controller/cutover/process_handle.go	161	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-033	G118	HIGH	MEDIUM	features/controller/api/server.go	382	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-034	G118	HIGH	MEDIUM	features/controller/api/handlers_upgrade.go	620	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-035	G118	HIGH	MEDIUM	features/controller/api/handlers_upgrade.go	322	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-036	G118	HIGH	MEDIUM	features/controller/api/handlers_rollout.go	153	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-037	G118	HIGH	MEDIUM	features/controller/api/handlers_push.go	207	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-038	G118	HIGH	MEDIUM	features/controller/api/handlers_jobs.go	158	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-039	G118	HIGH	MEDIUM	features/config/rollback/manager.go	226	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The goroutine is an intentional durable or component-owned task that outlives the initiating call and is bounded by documented timeouts, stop channels, wait groups, or persisted lifecycle state.
PB020-PIN-040	G122	HIGH	MEDIUM	pkg/storage/providers/flatfile/audit_store.go	693	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	The walk callback now opens, reads, or removes the discovered entry through os.Root, preventing a symlink swap from escaping the configured root.
PB020-PIN-041	G122	HIGH	MEDIUM	pkg/storage/providers/flatfile/audit_store.go	545	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	The walk callback now opens, reads, or removes the discovered entry through os.Root, preventing a symlink swap from escaping the configured root.
PB020-PIN-042	G122	HIGH	MEDIUM	pkg/storage/providers/blobstore/filesystem/plugin.go	284	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	The walk callback now opens, reads, or removes the discovered entry through os.Root, preventing a symlink swap from escaping the configured root.
PB020-PIN-043	G122	HIGH	MEDIUM	pkg/configrouting/providers/git/git_store.go	228	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	The walk callback now opens, reads, or removes the discovered entry through os.Root, preventing a symlink swap from escaping the configured root.
PB020-PIN-044	G122	HIGH	MEDIUM	features/siem/rule_manager.go	196	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	The walk callback now opens, reads, or removes the discovered entry through os.Root, preventing a symlink swap from escaping the configured root.
PB020-PIN-045	G124	MEDIUM	HIGH	features/controller/api/handlers_web_session.go	305	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	This is a CSRF double-submit cookie intentionally readable by browser code; it is not an authentication credential and remains Secure with SameSite=Strict.
PB020-PIN-046	G124	MEDIUM	HIGH	features/controller/api/handlers_web_session.go	207	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	This is a CSRF double-submit cookie intentionally readable by browser code; it is not an authentication credential and remains Secure with SameSite=Strict.
PB020-PIN-047	G124	MEDIUM	HIGH	features/controller/api/handlers_web_session.go	198	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	This is a CSRF double-submit cookie intentionally readable by browser code; it is not an authentication credential and remains Secure with SameSite=Strict.
PB020-PIN-048	G124	MEDIUM	HIGH	features/controller/api/handlers_web_session.go	64	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	This is a CSRF double-submit cookie intentionally readable by browser code; it is not an authentication credential and remains Secure with SameSite=Strict.
PB020-PIN-049	G118	MEDIUM	HIGH	features/modules/version_migration.go	641	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	Migration cancellation ownership is transferred to the execution and is now released on every terminal path; the local suppression documents the analyzer-visible ownership transfer.
PB020-PIN-050	G705	MEDIUM	HIGH	features/workflow/modules/m365/auth/interactive_auth.go	188	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	OAuth-provider error text is now HTML-escaped before insertion and the response declares text/html with UTF-8.
PB020-PIN-051	G705	MEDIUM	HIGH	features/workflow/modules/m365/auth/interactive_auth.go	125	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	OAuth-provider error text is now HTML-escaped before insertion and the response declares text/html with UTF-8.
PB020-PIN-052	G120	MEDIUM	HIGH	features/controller/api/handlers_steward_binary.go	120	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Global middleware and a handler-local MaxBytesReader cap the request at 64 MiB, while ParseMultipartForm caps in-memory parts at 32 MiB.
PB020-PIN-053	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	456	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-054	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	430	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-055	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	403	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-056	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	236	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-057	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	229	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-058	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	190	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-059	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	181	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-060	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	174	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-061	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	130-131	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-062	G204	MEDIUM	HIGH	test/integration/transport/module_helpers.go	82	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-063	G204	MEDIUM	HIGH	test/integration/controller/docker_helper.go	215	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The call exists only in an integration harness; executable/script structure is fixed, container names are validated, and harness-owned values are passed as argv without a host shell.
PB020-PIN-064	G204	MEDIUM	HIGH	features/steward/dna/security_linux.go	319	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The executable is fixed and the reviewed value is allowlisted or locally generated, passed as one argv under an operation timeout without shell interpretation.
PB020-PIN-065	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	273	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-066	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	264	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-067	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	252	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-068	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	202	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-069	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	193	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-070	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	181	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-071	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	131	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-072	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	122	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-073	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	110	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-074	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	60	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-075	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	51	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-076	G204	MEDIUM	HIGH	features/modules/stdlib/package/linux.go	39	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-077	G204	MEDIUM	HIGH	features/modules/stdlib/package/darwin.go	113	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-078	G204	MEDIUM	HIGH	features/modules/stdlib/package/darwin.go	100	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-079	G204	MEDIUM	HIGH	features/modules/stdlib/package/darwin.go	80	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-080	G204	MEDIUM	HIGH	features/modules/stdlib/package/darwin.go	41	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-081	G204	MEDIUM	HIGH	features/modules/stdlib/package/darwin.go	32	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-082	G204	MEDIUM	HIGH	features/modules/stdlib/package/darwin.go	20	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-083	G204	MEDIUM	HIGH	features/modules/stdlib/package/choco_bootstrap.go	46	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The package module fixes the executable, validates package coordinates including leading-dash rejection, and passes values as argv without shell interpretation.
PB020-PIN-084	G204	MEDIUM	HIGH	features/modules/extended/activedirectory/module.go	1092	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	PowerShell templates are module-owned; dynamic identity values use a strict metacharacter-free alphabet and page size is a decimal integer.
PB020-PIN-085	G204	MEDIUM	HIGH	cmd/cfg/cmd/webauthn.go	395	Local - shipped administrative CLI	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The executable is fixed and the reviewed value is allowlisted or locally generated, passed as one argv under an operation timeout without shell interpretation.
PB020-PIN-086	G204	MEDIUM	HIGH	cmd/cfg/cmd/webauthn.go	393	Local - shipped administrative CLI	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The executable is fixed and the reviewed value is allowlisted or locally generated, passed as one argv under an operation timeout without shell interpretation.
PB020-PIN-087	G204	MEDIUM	HIGH	cmd/cfg/cmd/webauthn.go	391	Local - shipped administrative CLI	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The executable is fixed and the reviewed value is allowlisted or locally generated, passed as one argv under an operation timeout without shell interpretation.
PB020-PIN-088	G202	MEDIUM	HIGH	pkg/storage/providers/sqlite/rbac_store.go	384	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Only fixed or allowlisted SQL structure and generated placeholder numbers are concatenated; every caller-controlled value remains a bound query argument.
PB020-PIN-089	G202	MEDIUM	HIGH	pkg/storage/providers/database/tenant_store.go	294	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Only fixed or allowlisted SQL structure and generated placeholder numbers are concatenated; every caller-controlled value remains a bound query argument.
PB020-PIN-090	G202	MEDIUM	HIGH	pkg/storage/providers/database/registration_store.go	410	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Only fixed or allowlisted SQL structure and generated placeholder numbers are concatenated; every caller-controlled value remains a bound query argument.
PB020-PIN-091	G202	MEDIUM	HIGH	pkg/storage/providers/database/rbac_assignments.go	139	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Only fixed or allowlisted SQL structure and generated placeholder numbers are concatenated; every caller-controlled value remains a bound query argument.
PB020-PIN-092	G202	MEDIUM	HIGH	pkg/storage/providers/database/config_store.go	383	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Only fixed or allowlisted SQL structure and generated placeholder numbers are concatenated; every caller-controlled value remains a bound query argument.
PB020-PIN-093	G202	MEDIUM	HIGH	pkg/storage/providers/database/command_store.go	267	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Only fixed or allowlisted SQL structure and generated placeholder numbers are concatenated; every caller-controlled value remains a bound query argument.
PB020-PIN-094	G202	MEDIUM	HIGH	pkg/storage/providers/database/command_store.go	267	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Only fixed or allowlisted SQL structure and generated placeholder numbers are concatenated; every caller-controlled value remains a bound query argument.
PB020-PIN-095	G202	MEDIUM	HIGH	pkg/storage/providers/database/audit_store.go	269	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Only fixed or allowlisted SQL structure and generated placeholder numbers are concatenated; every caller-controlled value remains a bound query argument.
PB020-PIN-096	G202	MEDIUM	HIGH	pkg/entitygraph/providers/database/entity_reads.go	225	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Only fixed or allowlisted SQL structure and generated placeholder numbers are concatenated; every caller-controlled value remains a bound query argument.
PB020-PIN-097	G117	MEDIUM	MEDIUM	features/workflow/modules/m365/auth/secret_store_credential_store.go	120	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Secret-bearing JSON is immediately passed to the tenant-scoped SecretStore/CredentialStore and is not logged, returned, or persisted as ordinary data.
